"MiscUnit","CLAF","PRID","Drain","Layer","TopDep","BotDep","CFRAG","CFRAG_std","SDTO","SDTO_std","STPC","STPC_std","CLPC","CLPC_std","PSCL","BULK","BULK_std","TAWC","TAWC_std","CECS","CECS_std","TEB","TEB_std","BSAT","BSAT_std","ECEC","ECEC_std","CECc","CECc_std","ESP","ESP_std","ALSA","ALSA_std","PHAQ","PHAQ_std","TCEQ","TCEQ_std","GYPS","GYPS_std","ELCO","ELCO_std","TOTN","TOTN_std","CNrt","CNrt_std","ORGC","ORGC_std"
"N","ACg","ACg/C","I","D1",0,20,2,1.00,57,25.00,28,16.00,15,13.00,"M",1.53,0.12,18,7.00,7,3.00,4.00,3.00,51,35.00,5.00,2.00,18.00,8.00,1,0.00,21,20.00,5.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.65,18.00,7.00,18.51,10.18
"N","ACg","ACg/C","I","D2",20,40,2,2.00,50,25.00,27,16.00,23,16.00,"M",1.68,0.11,15,7.00,7,5.00,4.00,2.00,51,29.00,6.00,3.00,21.00,9.00,2,1.00,34,25.00,5.10,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.32,12.00,5.00,4.88,2.25
"N","ACg","ACg/C","I","D3",40,60,2,2.00,45,24.00,24,15.00,31,18.00,"M",1.67,0.14,15,6.00,7,4.00,3.00,1.00,39,20.00,6.00,4.00,23.00,10.00,2,1.00,42,25.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.25,9.00,4.00,3.55,2.28
"N","ACg","ACg/C","I","D4",60,80,9,11.00,43,25.00,21,13.00,36,19.00,"F",1.67,0.19,15,7.00,7,4.00,3.00,1.00,36,23.00,9.00,7.00,24.00,11.00,2,0.00,42,23.00,4.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.25,8.00,3.00,2.67,1.68
"N","ACg","ACg/C","I","D5",80,100,5,5.00,45,23.00,19,10.00,36,17.00,"F",1.68,0.18,15,7.00,9,7.00,2.00,1.00,30,20.00,9.00,7.00,27.00,13.00,2,1.00,58,23.00,4.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.11,5.00,1.00,2.11,1.32
"N","ACg","ACg/C","I","D6",100,150,7,6.00,47,21.00,19,12.00,34,16.00,"M",1.73,0.17,16,9.00,10,7.00,2.00,1.00,28,19.00,9.00,7.00,29.00,15.00,1,1.00,59,25.00,4.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.12,5.00,0.00,1.73,1.33
"N","ACg","ACg/C","I","D7",150,200,10,11.00,49,26.00,20,17.00,31,17.00,"M",1.77,0.12,13,5.00,10,8.00,3.00,2.00,30,18.00,7.00,6.00,29.00,15.00,1,1.00,64,13.00,4.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.14,5.00,0.00,1.06,0.68
"N","ACh","ACh/A","M","D1",0,20,11,10.00,59,23.00,18,14.00,23,15.00,"M",1.37,0.14,14,6.00,7,4.00,3.00,2.00,43,26.00,4.00,3.00,17.00,10.00,2,1.00,20,17.00,5.10,0.70,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.54,12.00,3.00,12.04,6.39
"N","ACh","ACh/A","M","D2",20,40,13,11.00,53,23.00,16,13.00,31,17.00,"M",1.37,0.14,14,6.00,6,3.00,3.00,1.00,33,21.00,3.00,2.00,14.00,7.00,2,1.00,30,26.00,5.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.28,10.00,3.00,6.32,2.92
"N","ACh","ACh/A","M","D3",40,60,14,11.00,48,22.00,16,12.00,36,17.00,"F",1.38,0.13,15,6.00,6,3.00,2.00,1.00,28,17.00,3.00,1.00,12.00,6.00,2,1.00,39,29.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.19,9.00,3.00,4.66,2.06
"N","ACh","ACh/A","M","D4",60,80,17,14.00,46,21.00,16,12.00,38,16.00,"F",1.38,0.14,15,6.00,6,3.00,2.00,1.00,27,16.00,3.00,1.00,12.00,6.00,2,1.00,41,29.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.17,9.00,3.00,3.82,1.70
"N","ACh","ACh/A","M","D5",80,100,10,9.00,45,21.00,16,12.00,39,16.00,"F",1.39,0.14,16,7.00,6,3.00,2.00,1.00,26,15.00,3.00,1.00,13.00,6.00,2,1.00,44,31.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.16,9.00,3.00,3.31,1.47
"N","ACh","ACh/A","M","D6",100,150,19,17.00,44,21.00,17,11.00,39,17.00,"F",1.39,0.14,16,7.00,6,3.00,2.00,1.00,27,17.00,4.00,2.00,13.00,7.00,2,1.00,49,31.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.14,9.00,3.00,2.77,1.23
"N","ACh","ACh/A","M","D7",150,200,22,17.00,47,21.00,17,11.00,36,16.00,"F",1.44,0.16,14,10.00,5,3.00,2.00,1.00,30,20.00,4.00,2.00,13.00,8.00,2,1.00,38,27.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.12,9.00,3.00,2.20,1.02
"N","ACh","ACh/B","M","D1",0,20,9,8.00,78,10.00,11,6.00,11,6.00,"C",1.46,0.11,14,5.00,3,1.00,2.00,1.00,47,25.00,2.00,1.00,16.00,7.00,1,1.00,15,14.00,5.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.17,9.00,4.00,3.10,1.76
"N","ACh","ACh/B","M","D2",20,40,9,9.00,73,10.00,11,6.00,16,6.00,"C",1.50,0.11,13,5.00,3,1.00,2.00,1.00,40,22.00,2.00,1.00,15.00,7.00,2,1.00,27,19.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.14,9.00,3.00,2.62,1.35
"N","ACh","ACh/B","M","D3",40,60,9,9.00,69,10.00,11,6.00,20,6.00,"M",1.50,0.09,13,5.00,4,2.00,2.00,1.00,36,20.00,4.00,2.00,12.00,6.00,2,0.00,32,23.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.16,9.00,5.00,2.08,1.10
"N","ACh","ACh/B","M","D4",60,80,10,10.00,69,10.00,10,6.00,21,7.00,"M",1.50,0.10,14,5.00,4,2.00,2.00,1.00,39,21.00,4.00,2.00,11.00,6.00,2,1.00,39,25.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.15,11.00,5.00,1.49,0.73
"N","ACh","ACh/B","M","D5",80,100,10,11.00,70,9.00,9,6.00,21,8.00,"M",1.50,0.09,14,5.00,3,2.00,2.00,1.00,45,21.00,4.00,2.00,10.00,6.00,2,1.00,43,28.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.14,9.00,3.00,1.22,0.51
"N","ACh","ACh/B","M","D6",100,150,11,13.00,69,10.00,10,5.00,21,9.00,"M",1.54,0.09,14,5.00,2,1.00,2.00,1.00,29,17.00,4.00,2.00,9.00,6.00,2,1.00,50,27.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.08,6.00,1.00,0.94,0.47
"N","ACh","ACh/B","M","D7",150,200,12,14.00,70,12.00,10,5.00,20,8.00,"M",1.60,0.18,14,6.00,2,1.00,2.00,1.00,29,19.00,4.00,3.00,10.00,6.00,2,1.00,51,26.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.18,7.00,3.00,0.82,0.38
"N","ACh","ACh/C","M","D1",0,20,8,8.00,53,23.00,28,16.00,19,14.00,"M",1.07,0.44,13,5.00,6,4.00,3.00,3.00,50,27.00,4.00,2.00,12.00,6.00,1,1.00,11,9.00,5.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.45,15.00,5.00,13.28,6.38
"N","ACh","ACh/C","M","D2",20,40,6,6.00,46,23.00,26,15.00,28,17.00,"M",1.09,0.48,11,4.00,6,3.00,3.00,2.00,44,21.00,4.00,2.00,15.00,6.00,2,1.00,25,18.00,5.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.18,12.00,5.00,4.81,2.50
"N","ACh","ACh/C","M","D3",40,60,6,6.00,41,23.00,25,14.00,34,17.00,"M",1.08,0.50,12,5.00,6,3.00,2.00,1.00,40,19.00,4.00,2.00,16.00,7.00,2,1.00,31,23.00,5.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.14,9.00,4.00,2.95,1.54
"N","ACh","ACh/C","M","D4",60,80,7,7.00,41,22.00,24,14.00,35,17.00,"F",1.59,0.13,11,4.00,6,3.00,2.00,1.00,36,18.00,4.00,2.00,17.00,7.00,2,1.00,38,25.00,5.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.21,8.00,3.00,2.16,1.13
"N","ACh","ACh/C","M","D5",80,100,4,5.00,43,22.00,23,14.00,34,16.00,"M",1.60,0.13,12,5.00,6,3.00,2.00,1.00,33,18.00,4.00,2.00,17.00,7.00,2,1.00,43,28.00,5.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.22,7.00,3.00,1.72,0.99
"N","ACh","ACh/C","M","D6",100,150,4,5.00,45,22.00,22,14.00,33,15.00,"M",1.62,0.15,13,5.00,6,3.00,2.00,1.00,29,18.00,4.00,2.00,18.00,8.00,2,1.00,51,26.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.18,5.00,2.00,1.18,0.65
"N","ACh","ACh/C","M","D7",150,200,9,11.00,49,22.00,21,15.00,30,15.00,"M",1.63,0.17,13,4.00,6,3.00,2.00,2.00,28,19.00,4.00,3.00,19.00,8.00,2,1.00,53,27.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.22,5.00,1.00,0.93,0.57
"N","ACh","ACh/D","M","D1",0,20,12,9.00,26,16.00,52,13.00,22,8.00,"M",1.42,0.17,17,5.00,10,4.00,6.00,4.00,42,32.00,8.00,4.00,18.00,8.00,1,1.00,23,25.00,4.90,0.80,0.00,0.00,0.00,0.00,0.00,0.00,3.16,2.20,12.00,5.00,23.17,14.37
"N","ACh","ACh/D","M","D2",20,40,12,10.00,26,15.00,48,11.00,26,8.00,"M",1.59,0.14,16,5.00,8,3.00,4.00,4.00,38,32.00,5.00,4.00,23.00,7.00,1,1.00,39,16.00,4.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.22,8.00,3.00,5.37,2.53
"N","ACh","ACh/D","M","D3",40,60,13,11.00,26,16.00,46,11.00,28,9.00,"M",1.64,0.15,15,5.00,8,3.00,3.00,3.00,40,30.00,6.00,5.00,24.00,8.00,1,1.00,32,20.00,4.90,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.20,7.00,2.00,3.01,1.49
"N","ACh","ACh/D","M","D4",60,80,14,12.00,31,18.00,43,13.00,26,9.00,"M",1.69,0.14,16,1.00,8,4.00,3.00,2.00,42,26.00,6.00,4.00,27.00,8.00,2,1.00,47,20.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.23,5.00,1.00,1.88,0.88
"N","ACh","ACh/D","M","D5",80,100,18,15.00,34,21.00,40,14.00,26,12.00,"M",1.73,0.15,16,5.00,8,4.00,3.00,2.00,41,22.00,6.00,5.00,28.00,9.00,2,1.00,35,22.00,4.90,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.21,5.00,0.00,1.92,1.48
"N","ACh","ACh/D","M","D6",100,150,22,17.00,38,23.00,38,16.00,24,13.00,"M",1.73,0.14,17,5.00,8,5.00,3.00,2.00,41,27.00,6.00,5.00,29.00,11.00,2,1.00,46,21.00,5.10,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.19,5.00,0.00,1.47,1.22
"N","ACh","ACh/D","M","D7",150,200,20,19.00,48,26.00,30,17.00,22,20.00,"M",1.58,0.26,14,6.00,6,4.00,3.00,2.00,52,28.00,5.00,5.00,29.00,13.00,2,1.00,51,26.00,5.10,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.24,5.00,1.00,0.76,0.55
"N","ACu","ACu/C","M","D1",0,20,2,2.00,35,20.00,34,13.00,31,13.00,"M",1.28,0.25,15,5.00,18,6.00,5.00,4.00,37,17.00,8.00,4.00,22.00,10.00,1,0.00,16,14.00,5.10,0.50,0.00,0.00,0.00,0.00,0.00,0.00,2.25,1.11,13.00,3.00,30.29,16.78
"N","ACu","ACu/C","M","D2",20,40,4,3.00,33,20.00,33,13.00,34,14.00,"M",1.36,0.17,12,3.00,16,5.00,5.00,4.00,38,18.00,7.00,3.00,22.00,11.00,1,0.00,4,4.00,5.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.60,12.00,3.00,17.47,10.66
"N","ACu","ACu/C","M","D3",40,60,3,3.00,31,20.00,31,13.00,38,15.00,"F",1.39,0.22,11,2.00,14,6.00,5.00,4.00,40,20.00,6.00,3.00,21.00,10.00,1,1.00,12,11.00,5.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.35,10.00,3.00,10.42,5.56
"N","ACu","ACu/C","M","D4",60,80,4,3.00,31,19.00,30,13.00,39,16.00,"F",1.40,0.16,10,2.00,13,6.00,3.00,2.00,38,21.00,5.00,2.00,24.00,14.00,2,1.00,14,10.00,5.30,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.38,9.00,3.00,7.12,4.28
"N","ACu","ACu/C","M","D5",80,100,5,6.00,31,19.00,29,12.00,40,16.00,"F",1.36,0.18,15,7.00,13,7.00,5.00,5.00,42,20.00,7.00,4.00,21.00,13.00,1,1.00,6,3.00,5.30,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.32,9.00,3.00,4.40,1.99
"N","ACu","ACu/C","M","D6",100,150,9,11.00,25,15.00,31,12.00,44,16.00,"F",1.34,0.16,15,7.00,13,8.00,8.00,8.00,45,22.00,7.00,5.00,21.00,8.00,1,0.00,3,2.00,5.40,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.34,8.00,2.00,3.56,1.82
"N","ACu","ACu/C","M","D7",150,200,24,23.00,29,17.00,34,8.00,37,16.00,"F",1.33,0.15,17,8.00,15,10.00,7.00,6.00,41,23.00,7.00,6.00,45.00,41.00,1,0.00,28,34.00,5.50,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.36,7.00,2.00,2.89,1.61
"N","ALf","ALf/A","W","D1",0,20,5,3.00,67,22.00,18,12.00,15,15.00,"C",1.35,0.19,17,5.00,8,3.00,5.00,3.00,59,25.00,6.00,3.00,46.00,17.00,2,2.00,0,0.00,6.30,0.60,0.00,0.00,1.00,0.00,1.00,0.30,0.77,0.24,13.00,2.00,10.62,4.43
"N","ALf","ALf/A","W","D2",20,40,3,3.00,64,22.00,16,11.00,20,17.00,"M",1.46,0.13,16,4.00,9,4.00,4.00,2.00,44,17.00,4.00,3.00,41.00,15.00,2,1.00,0,0.00,6.20,0.70,0.00,0.00,0.00,0.00,1.00,0.30,0.48,0.13,11.00,3.00,5.67,2.19
"N","ALf","ALf/A","W","D3",40,60,6,3.00,58,20.00,15,9.00,27,15.00,"M",1.46,0.14,18,4.00,11,5.00,4.00,2.00,38,15.00,5.00,4.00,39.00,18.00,2,1.00,0,0.00,6.00,0.70,0.00,0.00,0.00,0.00,1.00,0.30,0.49,0.22,10.00,3.00,4.79,2.01
"N","ALf","ALf/A","W","D4",60,80,6,4.00,53,18.00,16,9.00,31,13.00,"M",1.43,0.16,20,4.00,13,5.00,4.00,2.00,36,14.00,6.00,4.00,32.00,9.00,2,1.00,0,0.00,6.10,0.70,0.00,0.00,0.00,0.00,1.00,0.30,0.57,0.19,8.00,2.00,4.04,1.57
"N","ALf","ALf/A","W","D5",80,100,6,4.00,50,18.00,17,10.00,33,12.00,"M",1.44,0.20,20,5.00,14,5.00,4.00,2.00,36,14.00,7.00,5.00,32.00,10.00,2,1.00,0,0.00,6.10,0.70,0.00,0.00,0.00,0.00,1.00,0.30,0.47,0.27,6.00,1.00,3.47,1.92
"N","ALf","ALf/A","W","D6",100,150,8,7.00,49,18.00,17,9.00,34,13.00,"M",1.45,0.26,18,4.00,15,6.00,5.00,3.00,34,14.00,7.00,5.00,32.00,7.00,2,1.00,0,0.00,6.10,0.70,0.00,0.00,0.00,0.00,1.00,0.30,0.42,0.23,5.00,1.00,2.66,1.42
"N","ALf","ALf/A","W","D7",150,200,15,16.00,31,22.00,34,19.00,35,21.00,"F",1.69,0.19,15,3.00,13,7.00,7.00,7.00,30,25.00,13.00,8.00,38.00,13.00,2,1.00,68,26.00,4.70,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.28,7.00,3.00,1.22,0.80
"N","ALf","ALf/C","W","D1",0,20,2,1.00,24,14.00,52,17.00,24,12.00,"M",1.44,0.12,18,4.00,9,4.00,4.00,2.00,41,28.00,6.00,3.00,20.00,6.00,2,1.00,50,25.00,5.20,0.70,0.00,0.00,1.00,0.00,0.00,0.00,1.03,0.41,10.00,2.00,14.75,9.43
"N","ALf","ALf/C","W","D2",20,40,3,2.00,19,11.00,47,15.00,34,12.00,"M",1.51,0.11,16,5.00,10,4.00,3.00,1.00,34,18.00,7.00,2.00,29.00,9.00,2,1.00,70,17.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.28,9.00,3.00,5.31,2.10
"N","ALf","ALf/C","W","D3",40,60,12,13.00,17,10.00,48,14.00,35,10.00,"F",1.48,0.16,17,4.00,11,3.00,5.00,1.00,43,20.00,8.00,2.00,31.00,6.00,2,1.00,68,24.00,5.20,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.18,7.00,1.00,3.21,1.49
"N","ALf","ALf/C","W","D4",60,80,21,19.00,18,9.00,47,13.00,35,10.00,"F",1.48,0.18,19,3.00,11,3.00,4.00,1.00,40,15.00,8.00,2.00,33.00,8.00,2,1.00,65,25.00,5.10,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.19,5.00,0.00,2.38,1.31
"N","ACp","ACp/A","M","D1",0,20,16,15.00,52,26.00,27,19.00,21,13.00,"M",1.40,0.13,14,5.00,7,4.00,3.00,2.00,36,30.00,4.00,2.00,14.00,7.00,2,1.00,23,20.00,4.90,0.70,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.68,12.00,3.00,13.74,7.45
"N","ACp","ACp/A","M","D2",20,40,28,25.00,45,24.00,24,17.00,31,16.00,"M",1.42,0.20,14,4.00,6,3.00,2.00,1.00,21,14.00,3.00,2.00,13.00,6.00,2,1.00,30,23.00,4.80,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.34,10.00,3.00,7.01,3.63
"N","ACp","ACp/A","M","D3",40,60,26,25.00,41,22.00,23,16.00,36,16.00,"F",1.39,0.19,14,5.00,6,3.00,2.00,1.00,21,14.00,3.00,2.00,13.00,6.00,2,1.00,42,26.00,4.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.24,9.00,2.00,5.00,2.21
"N","ACp","ACp/A","M","D4",60,80,22,23.00,38,21.00,23,14.00,39,15.00,"F",1.42,0.16,13,6.00,6,3.00,2.00,1.00,20,15.00,3.00,2.00,13.00,6.00,2,1.00,43,26.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.19,8.00,3.00,3.95,1.73
"N","ACp","ACp/A","M","D5",80,100,28,24.00,35,20.00,23,13.00,42,15.00,"F",1.43,0.17,13,6.00,6,3.00,2.00,1.00,21,17.00,4.00,3.00,13.00,6.00,2,1.00,46,29.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.27,8.00,3.00,3.28,1.33
"N","ACp","ACp/A","M","D6",100,150,26,27.00,35,20.00,23,13.00,42,15.00,"F",1.46,0.20,11,4.00,6,3.00,2.00,1.00,23,19.00,4.00,3.00,14.00,7.00,2,1.00,50,30.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.17,8.00,3.00,2.40,0.89
"N","ACp","ACp/A","M","D7",150,200,24,28.00,32,20.00,23,12.00,45,15.00,"F",1.67,0.24,9,1.00,7,3.00,1.00,1.00,19,14.00,4.00,3.00,14.00,8.00,2,1.00,42,26.00,5.10,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.31,6.00,1.00,2.14,0.88
"N","ACp","ACp/B","M","D1",0,20,17,16.00,56,26.00,25,18.00,19,13.00,"M",1.41,0.15,14,5.00,7,4.00,2.00,1.00,37,28.00,4.00,2.00,14.00,7.00,2,1.00,17,16.00,5.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.65,13.00,3.00,12.91,7.06
"N","ACp","ACp/B","M","D2",20,40,26,23.00,49,24.00,23,17.00,28,16.00,"M",1.45,0.19,14,4.00,6,3.00,2.00,1.00,31,24.00,3.00,2.00,13.00,6.00,2,1.00,26,20.00,4.90,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.32,10.00,3.00,5.97,2.99
"N","ACp","ACp/B","M","D3",40,60,26,24.00,45,22.00,22,15.00,33,16.00,"M",1.44,0.21,14,5.00,6,3.00,2.00,1.00,28,21.00,3.00,2.00,14.00,6.00,2,1.00,33,24.00,4.90,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.24,9.00,3.00,4.39,2.14
"N","ACp","ACp/B","M","D4",60,80,20,21.00,41,21.00,22,14.00,37,15.00,"F",1.47,0.19,13,6.00,6,3.00,2.00,1.00,26,18.00,3.00,2.00,13.00,6.00,2,1.00,39,24.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.23,8.00,3.00,3.47,1.73
"N","ACp","ACp/B","M","D5",80,100,24,23.00,39,20.00,22,13.00,39,15.00,"F",1.48,0.20,11,3.00,6,3.00,2.00,1.00,25,19.00,4.00,3.00,13.00,7.00,2,1.00,43,28.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.24,8.00,4.00,2.88,1.44
"N","ACp","ACp/B","M","D6",100,150,21,24.00,38,20.00,22,13.00,40,15.00,"F",1.55,0.20,11,3.00,6,3.00,2.00,1.00,24,18.00,4.00,3.00,14.00,7.00,2,1.00,49,28.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.16,7.00,3.00,2.28,1.17
"N","ACp","ACp/B","M","D7",150,200,5,4.00,37,21.00,21,12.00,42,15.00,"F",1.75,0.16,13,5.00,6,3.00,1.00,1.00,18,13.00,4.00,3.00,15.00,8.00,2,1.00,49,27.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.31,6.00,1.00,1.81,0.96
"N","ACp","ACp/C","M","D1",0,20,20,17.00,68,22.00,20,14.00,12,9.00,"C",1.48,0.28,14,5.00,4,3.00,2.00,1.00,42,21.00,3.00,1.00,15.00,13.00,3,1.00,13,11.00,5.40,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.45,18.00,6.00,11.28,6.25
"N","ACp","ACp/C","M","D2",20,40,17,16.00,61,20.00,21,13.00,18,9.00,"M",1.57,0.28,14,4.00,3,1.00,1.00,0.00,31,24.00,3.00,2.00,12.00,7.00,2,1.00,24,18.00,5.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.10,11.00,4.00,3.16,1.88
"N","ACp","ACp/C","M","D3",40,60,26,18.00,58,18.00,20,13.00,22,10.00,"M",1.56,0.27,14,5.00,3,2.00,1.00,1.00,65,23.00,3.00,2.00,18.00,14.00,2,1.00,30,23.00,5.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.13,11.00,5.00,1.74,0.98
"N","ACp","ACp/C","M","D4",60,80,15,13.00,52,16.00,19,13.00,29,10.00,"M",1.56,0.26,13,6.00,4,3.00,1.00,1.00,63,27.00,2.00,1.00,13.00,8.00,2,1.00,37,24.00,5.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.17,9.00,3.00,1.14,0.63
"N","ACp","ACp/C","M","D5",80,100,9,5.00,53,16.00,18,14.00,29,10.00,"M",1.57,0.27,11,3.00,4,2.00,1.00,0.00,25,19.00,4.00,3.00,13.00,7.00,2,1.00,42,28.00,5.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.17,10.00,7.00,0.98,0.63
"N","ACp","ACp/C","M","D6",100,150,6,4.00,55,14.00,16,13.00,29,10.00,"M",1.73,0.12,11,3.00,4,2.00,1.00,0.00,24,18.00,4.00,3.00,13.00,6.00,2,1.00,48,27.00,4.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.16,7.00,3.00,0.75,0.56
"N","ACp","ACp/C","M","D7",150,200,5,4.00,59,13.00,12,6.00,29,9.00,"M",1.77,0.13,13,5.00,5,3.00,1.00,1.00,18,13.00,4.00,3.00,18.00,6.00,2,1.00,51,28.00,4.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.31,6.00,1.00,0.66,0.46
"N","ACu","ACu/A","M","D1",0,20,15,21.00,36,21.00,23,10.00,41,18.00,"F",1.28,0.14,12,5.00,15,8.00,6.00,5.00,33,23.00,8.00,4.00,14.00,9.00,1,1.00,21,25.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,2.83,1.42,13.00,4.00,36.86,16.96
"N","ACu","ACu/A","M","D2",20,40,21,26.00,33,19.00,20,9.00,47,18.00,"F",1.38,0.12,11,3.00,11,6.00,4.00,3.00,29,17.00,6.00,3.00,13.00,8.00,1,1.00,21,17.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.80,12.00,4.00,19.07,8.16
"N","ACu","ACu/A","M","D3",40,60,25,28.00,30,18.00,19,10.00,51,18.00,"F",1.38,0.10,12,4.00,10,5.00,4.00,2.00,24,14.00,6.00,3.00,13.00,7.00,1,0.00,38,23.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.63,12.00,4.00,12.61,5.19
"N","ACu","ACu/A","M","D4",60,80,25,27.00,29,17.00,19,10.00,52,17.00,"F",1.37,0.10,10,2.00,10,5.00,3.00,1.00,22,14.00,6.00,3.00,14.00,8.00,1,1.00,36,24.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.54,12.00,5.00,10.41,4.95
"N","ACu","ACu/A","M","D5",80,100,25,26.00,29,17.00,20,11.00,51,16.00,"F",1.38,0.10,10,2.00,10,5.00,3.00,1.00,21,13.00,6.00,3.00,15.00,9.00,2,1.00,38,26.00,4.90,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.45,11.00,5.00,8.82,4.49
"N","ACu","ACu/A","M","D6",100,150,27,28.00,29,17.00,19,10.00,52,16.00,"F",1.38,0.10,11,5.00,9,5.00,3.00,2.00,19,11.00,5.00,3.00,15.00,8.00,1,1.00,36,22.00,5.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.22,11.00,6.00,7.19,4.03
"N","ACu","ACu/A","M","D7",150,200,29,26.00,28,17.00,20,11.00,52,17.00,"F",1.44,0.10,16,8.00,8,4.00,2.00,1.00,20,17.00,5.00,2.00,13.00,7.00,1,0.00,28,34.00,5.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.22,12.00,5.00,5.46,2.36
"N","ACu","ACu/B","M","D1",0,20,4,4.00,35,20.00,28,13.00,37,16.00,"F",1.28,0.19,13,5.00,16,7.00,5.00,4.00,35,21.00,8.00,4.00,17.00,11.00,1,1.00,18,17.00,4.90,0.50,0.00,0.00,0.00,0.00,0.00,0.00,2.52,1.28,13.00,3.00,33.48,16.67
