"MiscUnit","CLAF","PRID","Drain","Layer","TopDep","BotDep","CFRAG","CFRAG_std","SDTO","SDTO_std","STPC","STPC_std","CLPC","CLPC_std","PSCL","BULK","BULK_std","TAWC","TAWC_std","CECS","CECS_std","TEB","TEB_std","BSAT","BSAT_std","ECEC","ECEC_std","CECc","CECc_std","ESP","ESP_std","ALSA","ALSA_std","PHAQ","PHAQ_std","TCEQ","TCEQ_std","GYPS","GYPS_std","ELCO","ELCO_std","TOTN","TOTN_std","CNrt","CNrt_std","ORGC","ORGC_std"
"N","LPu","LPu/C","M","D2",20,40,17,10.00,55,27.00,26,17.00,19,19.00,"M",1.00,0.11,16,4.00,14,8.00,3.00,1.00,28,23.00,4.00,2.00,37.00,30.00,1,1.00,12,4.00,5.10,0.40,0.00,0.00,5.00,12.00,0.00,0.00,3.81,3.24,13.00,5.00,25.76,9.17
"N","LPu","LPu/C","-7","D3",40,60,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/C","-7","D4",60,80,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/C","-7","D5",80,100,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/C","-7","D6",100,150,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/C","-7","D7",150,200,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/D","M","D1",0,20,11,8.00,39,17.00,42,12.00,19,10.00,"M",1.00,0.21,20,3.00,27,12.00,8.00,6.00,32,24.00,5.00,3.00,24.00,19.00,1,1.00,14,14.00,5.30,1.10,0.00,0.00,3.00,6.00,1.20,1.00,3.23,2.41,13.00,4.00,60.76,48.63
"N","LPu","LPu/D","M","D2",20,40,21,11.00,48,19.00,33,9.00,19,14.00,"M",1.13,0.23,16,3.00,14,8.00,3.00,2.00,26,24.00,4.00,2.00,43.00,36.00,1,1.00,12,4.00,5.10,0.60,0.00,0.00,5.00,12.00,0.00,0.00,2.42,1.54,13.00,5.00,13.70,7.25
"N","LPu","LPu/D","-7","D3",40,60,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/D","-7","D4",60,80,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
