"NEWSUID","NoSoilComp","DomFAO_Name","DomFAO_Prop","PropSynthProf","SoilMapUnit","SOIL1","PROP1","PRID1","SOIL2","PROP2","PRID2","SOIL3","PROP3","PRID3","SOIL4","PROP4","PRID4","SOIL5","PROP5","PRID5","SOIL6","PROP6","PRID6","SOIL7","PROP7","PRID7","SOIL8","PROP8","PRID8","SOIL9","PROP9","PRID9","SOIL10","PROP10","PRID10","WATE"
"WD20030990",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20030991",3,"LP",57,0,"LPe3ACh3LPq5/B","LPe",43,"LPe/B","ACh",43,"ACh/B","LPq",14,"LPq/B",,,,,,,,,,,,,,,,,,,,,,
"WD20030992",2,"AR",73,0,"ARo2CMx4/B","ARo",73,"ARo/B","CMx",27,"CMx/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20030993",4,"LX",62,0,"LXh2LPe4LVk5GLm5/B","LXh",62,"LXh/B","LPe",25,"LPe/B","LVk",8,"LVk/B","GLm",5,"GLm/B",,,,,,,,,,,,,,,,,,,
"WD20031000",4,"LP",53,0,"LPe4VRk4LVk5LPq5/B","LPe",37,"LPe/B","VRk",30,"VRk/B","LVk",17,"LVk/B","LPq",16,"LPq/B",,,,,,,,,,,,,,,,,,,
"WD20031001",3,"CM",69,0,"CMc2LVf5LVk5/B","CMc",69,"CMc/B","LVf",18,"LVf/B","LVk",13,"LVk/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031008",4,"LX",62,0,"LXh2LPe4LVk5GLm5/B","LXh",62,"LXh/B","LPe",25,"LPe/B","LVk",8,"LVk/B","GLm",5,"GLm/B",,,,,,,,,,,,,,,,,,,
"WD20031011",3,"LP",74,0,"LPe3LVf4LPq4/B","LPe",54,"LPe/B","LVf",26,"LVf/B","LPq",20,"LPq/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031012",2,"AR",91,0,"ARo1CLp5/B","ARo",91,"ARo/B","CLp",9,"CLp/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031013",1,"CM",100,0,"CMx1/B","CMx",100,"CMx/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031014",2,"LX",81,0,"LXh1CMe5/B","LXh",81,"LXh/B","CMe",19,"CMe/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031017",1,"CL",100,0,"CLp1/B","CLp",100,"CLp/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031019",3,"CM",67,0,"CMe2PTe4LVf5/B","CMe",67,"CMe/B","PTe",26,"PTe/B","LVf",7,"LVf/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031020",2,"LP",63,0,"LPe2ACh4/B","LPe",63,"LPe/B","ACh",37,"ACh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031022",4,"LX",45,0,"LXf3PTa4ARh4LPq5/B","LXf",45,"LXf/B","PTa",25,"PTa/B","ARh",24,"ARh/B","LPq",6,"LPq/B",,,,,,,,,,,,,,,,,,,
"WD20031024",4,"CM",47,0,"CMx3LPq4NTr5SNh5/B","CMx",47,"CMx/B","LPq",35,"LPq/B","NTr",11,"NTr/B","SNh",7,"SNh/B",,,,,,,,,,,,,,,,,,,
"WD20031025",4,"LP",53,0,"LPe4VRk4LVk5LPq5/B","LPe",37,"LPe/B","VRk",30,"VRk/B","LVk",17,"LVk/B","LPq",16,"LPq/B",,,,,,,,,,,,,,,,,,,
"WD20031026",2,"AR",91,0,"ARh1SCk5/B","ARh",91,"ARh/B","SCk",9,"SCk/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031031",3,"LX",58,0,"LXh3LPe4PTe5/B","LXh",58,"LXh/B","LPe",37,"LPe/B","PTe",5,"PTe/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031033",3,"CM",81,0,"CMx1GLm5RGe5/B","CMx",81,"CMx/B","GLm",13,"GLm/B","RGe",6,"RGe/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031035",5,"LX",45,0,"LXf3ARh4PTa5PLe5LPq5/B","LXf",45,"LXf/B","ARh",24,"ARh/B","PTa",13,"PTa/B","PLe",12,"PLe/B","LPq",6,"LPq/B",,,,,,,,,,,,,,,,
"WD20031036",2,"AR",94,0,"ARo1CMx5/B","ARo",94,"ARo/B","CMx",6,"CMx/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031038",2,"AR",94,0,"ARo1CMx5/B","ARo",94,"ARo/B","CMx",6,"CMx/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031039",3,"LP",77,0,"LPq2VRk5RGe5/B","LPq",77,"LPq/B","VRk",16,"VRk/B","RGe",7,"RGe/B",,,,,,,,,,,,,,,,,,,,,,
