pixel_vaue	description	cover_%	cell_count	square_km
0	nodata	71.11	502767732	330317832    
2	WD10000002	0.01	37851	32009
36	WD20000036	0.32	1874659	1467042  
37	WD10000037	0.03	142476	121215
38	WD10000038	0.00	3195	2715
39	WD10000039	0.00	18921	16102
41	WD10000041	0.00	15465	13104
44	WD10000044	0.00	5545	4702
45	WD10000045	0.02	122856	104322
47	WD10000047	0.01	65361	55427
50	WD10000050	0.00	22389	19062
51	WD10000051	0.00	6093	5188
52	WD10000052	0.00	1736	1480
53	WD10000053	0.00	1279	1089
55	WD10000055	0.00	7463	6287
60	WD20000060	0.01	36418	29417
61	WD20000061	0.05	310659	247416
62	WD10000062	0.00	384	322
63	WD10000063	0.00	3614	3063
66	WD10000066	0.00	3477	2963
67	WD30000067	0.00	11345	8205
71	WD20000071	0.00	30151	22147
72	WD20000072	0.00	2389	1795
79	WD20000079	0.01	63353	52303
80	WD20000080	0.00	15293	12753
81	WD20000081	0.01	30914	25325
82	WD20000082	0.01	74959	61202
85	WD20000085	0.00	18333	15042
87	WD20000087	0.00	192	155
91	WD20000091	0.00	8758	7187
92	WD20000092	0.09	532890	423172
93	WD20000093	0.00	12711	10079
95	WD20000095	0.00	11	8
97	WD20000097	0.01	51268	40612
99	WD10000099	0.00	15478	12787
103	WD20000103	0.00	16583	12106
109	WD20000109	0.00	30	25
111	WD20000111	0.00	22	18
119	WD20000119	0.00	814	600
120	WD20000120	0.00	8368	6925
123	WD10000123	0.01	62990	53072
125	WD20000125	0.00	16788	14110
132	WD10000132	0.00	16008	13486
135	WD20000135	0.01	31791	26646
136	WD10000136	0.00	17345	14616
138	WD20000138	0.01	36849	30874
139	WD10000139	0.00	1626	1368
142	WD10000142	0.00	4707	3969
143	WD10000143	0.00	10056	8468
144	WD10000144	0.00	6286	5304
145	WD10000145	0.01	32801	27754
146	WD20000146	0.00	10187	8571
153	WD10000153	0.01	35621	30097
161	WD10000161	0.00	3491	2971
164	WD10000164	0.00	3667	3122
165	WD20000165	0.03	159382	130940
168	WD20000168	0.01	76827	63737
169	WD20000169	0.01	42090	34784
171	WD20000171	0.00	7162	5916
172	WD20000172	0.00	2092	1731
173	WD20000173	0.00	25950	21495
181	WD20000181	0.00	14782	12348
185	WD10000185	0.01	71866	61241
186	WD10000186	0.00	22498	19151
187	WD10000187	0.01	54258	45964
190	WD20000190	0.00	3149	2627
191	WD20000191	0.00	5253	4377
192	WD20000192	0.00	3697	3109
193	WD20000193	0.06	345961	269081
195	WD20000195	0.00	9335	6607
224	WD10000224	0.00	15197	12852
225	WD10000225	0.00	1322	1124
232	WD20000232	0.03	148694	121255
233	WD20000233	0.00	16566	12486
238	WD20000238	0.04	204712	167899
242	WD20000242	0.00	28141	22527
243	WD20000243	0.00	17951	15037
251	WD20000251	0.01	39264	30412
255	WD20000255	0.00	11964	9885
256	WD20000256	0.01	29085	24242
262	WD30000262	0.00	986	678
283	WD20000283	0.00	2452	2060
285	WD10000285	0.01	30540	25676
290	WD30000290	0.00	10705	8777
292	WD20000292	0.00	24775	20701
293	WD20000293	0.00	22373	18710
295	WD20000295	0.00	1757	1466
300	WD20000300	0.00	610	503
318	WD20000318	0.00	10860	7902
320	WD30000320	0.00	14167	9919
322	WD20000322	0.00	1836	1331
329	WD20000329	0.00	6372	4441
333	WD20000333	0.00	28918	21377
336	WD20000336	0.00	10342	8450
339	WD20000339	0.07	439877	348009
340	WD20000340	0.01	90685	68507
341	WD20000341	0.00	23431	18495
343	WD20000343	0.00	496	370
360	WD20000360	0.00	2385	1871
361	WD20000361	0.09	571436	430773
363	WD20000363	0.01	51808	38146
366	WD20000366	0.00	14771	11285
372	WD20000372	0.00	15197	11199
374	WD20000374	0.00	27614	20125
376	WD20000376	0.00	25	18
379	WD20000379	0.00	3282	2722
380	WD20000380	0.00	11008	9244
381	WD20000381	0.00	6628	4693
390	WD20000390	0.00	3706	3064
391	WD20000391	0.00	12216	8984
423	WD30000423	0.00	161	136
424	WD30000424	0.00	9	8
436	WD10000436	0.00	11756	9994
437	WD10000437	0.00	6968	5951
440	WD30000440	0.00	271	229
445	WD30000445	0.00	478	401
450	WD20000450	0.00	1220	1000
463	WD10000463	0.01	55968	47825
464	WD10000464	0.01	59802	51091
480	WD30000480	0.00	1959	1644
481	WD10000481	0.02	125320	106796
482	WD10000482	0.00	1696	1449
483	WD10000483	0.01	30163	25751
485	WD10000485	0.00	10765	9201
488	WD10000488	0.00	1888	1610
489	WD10000489	0.00	4641	3955
490	WD10000490	0.01	40682	34727
491	WD10000491	0.01	45967	39268
492	WD10000492	0.00	21182	18069
494	WD10000494	0.00	12013	10243
495	WD10000495	0.00	3295	2814
509	WD10000509	0.00	444	378
522	WD30000522	0.00	83	69
533	WD30000533	0.00	5209	4398
534	WD30000534	0.00	24968	20716
537	WD30000537	0.04	244491	204340
538	WD30000538	0.01	33279	27278
540	WD30000540	0.00	21329	17923
542	WD30000542	0.00	16758	14074
544	WD30000544	0.00	14997	12686
546	WD10000546	0.01	58497	49965
548	WD10000548	0.00	6046	5154
549	WD10000549	0.00	4912	4198
551	WD10000551	0.02	92444	79009
552	WD10000552	0.00	16882	14426
554	WD10000554	0.00	4	3
555	WD30000555	0.00	2385	2005
556	WD30000556	0.00	2968	2472
557	WD30000557	0.00	2294	1924
564	WD30000564	0.00	4872	4057
569	WD30000569	0.00	303	254
570	WD30000570	0.01	53831	44941
572	WD30000572	0.00	3412	2826
575	WD30000575	0.00	271	201
580	WD10000580	0.00	125	105
583	WD10000583	0.00	8299	7076
584	WD10000584	0.00	51	44
593	WD30000593	0.00	244	204
594	WD30000594	0.00	19201	16066
598	WD10000598	0.00	4592	3918
600	WD30000600	0.01	46179	38289
602	WD10000602	0.00	8846	7547
604	WD10000604	0.01	48993	41817
605	WD10000605	0.00	11442	9778
606	WD10000606	0.00	23759	20305
607	WD10000607	0.01	38934	33258
608	WD10000608	0.00	952	812
609	WD10000609	0.00	2249	1917
610	WD10000610	0.00	236	202
612	WD30000612	0.00	207	173
615	WD10000615	0.00	21861	18156
616	WD10000616	0.00	17061	14037
618	WD10000618	0.01	28412	23506
620	WD30000620	0.00	7887	6642
621	WD30000621	0.00	20206	16869
624	WD10000624	0.00	15403	13160
626	WD10000626	0.00	5185	4431
627	WD10000627	0.00	2678	2289
628	WD10000628	0.01	65795	56231
630	WD10000630	0.00	1751	1492
638	WD10000638	0.00	291	243
640	WD30000640	0.00	31066	23179
642	WD20000642	0.00	1890	1548
643	WD30000643	0.00	17	14
644	WD30000644	0.00	25169	20983
649	WD30000649	0.01	71696	59539
652	WD30000652	0.00	5	4
656	WD10000656	0.00	14952	12657
658	WD10000658	0.00	2272	1939
673	WD10000673	0.00	247	211
674	WD10000674	0.00	3331	2841
676	WD10000676	0.00	25299	21597
677	WD10000677	0.00	6230	5302
679	WD20000679	0.00	6772	5170
681	WD30000681	0.00	2451	2032
686	WD20000686	0.00	4412	3604
688	WD30000688	0.00	7513	6220
691	WD30000691	0.00	1274	1073
693	WD30000693	0.00	687	567
696	WD20000696	0.00	159	130
697	WD10000697	0.00	1979	1625
708	WD20000708	0.00	6	5
712	WD30000712	0.00	14890	12235
714	WD30000714	0.01	46456	38711
715	WD30000715	0.01	29910	24689
733	WD10000733	0.00	12093	10145
738	WD20000738	0.00	6235	5210
777	WD10000777	0.00	7717	6359
778	WD30000778	0.00	3474	2886
781	WD30000781	0.00	7440	6179
785	WD10000785	0.00	1298	1089
786	WD10000786	0.00	5410	4520
795	WD10000795	0.00	5726	4886
800	WD10000800	0.00	905	771
814	WD10000814	0.00	2957	2527
816	WD30000816	0.00	3261	2735
819	WD10000819	0.00	3995	3286
843	WD30000843	0.00	1854	1567
844	WD30000844	0.00	2662	2194
853	WD30000853	0.00	568	481
855	WD10000855	0.00	2337	1995
856	WD30000856	0.00	14765	12361
857	WD20000857	0.00	486	399
859	WD10000859	0.00	15623	12892
864	WD10000864	0.00	1057	892
867	WD30000867	0.00	20755	17288
869	WD30000869	0.00	77	64
870	WD30000870	0.00	287	239
874	WD30000874	0.02	93353	76750
882	WD20000882	0.00	64	52
897	WD20000897	0.00	21534	18040
898	WD10000898	0.00	505	430
902	WD20000902	0.00	112	92
903	WD10000903	0.00	42	36
912	WD30000912	0.00	299	252
915	WD10000915	0.01	31966	27301
918	WD10000918	0.01	51453	43945
919	WD10000919	0.00	17745	15147
929	WD10000929	0.00	10804	9228
932	WD30000932	0.00	1159	977
950	WD20000950	0.00	1450	1190
954	WD20000954	0.00	2008	1672
968	WD30000968	0.00	10186	8389
983	WD30000983	0.00	9145	6811
985	WD30000985	0.00	333	248
1016	WD10001016	0.00	11266	9563
1017	WD10001017	0.00	3449	2935
1018	WD10001018	0.00	14066	11929
1020	WD10001020	0.00	4453	3755
1021	WD10001021	0.00	5734	4861
1022	WD10001022	0.00	3911	3268
1023	WD10001023	0.00	1530	1303
1024	WD10001024	0.00	3678	3112
1025	WD10001025	0.00	2747	2305
1026	WD10001026	0.01	66708	56207
1027	WD10001027	0.00	10260	8720
1028	WD10001028	0.00	18931	16085
1029	WD10001029	0.00	4157	3532
1030	WD10001030	0.00	907	770
1031	WD10001031	0.00	2246	1905
1032	WD10001032	0.00	675	573
1033	WD10001033	0.00	1358	1148
1034	WD10001034	0.00	24134	20454
1035	WD10001035	0.00	8234	6949
1036	WD10001036	0.00	10785	9107
1037	WD10001037	0.00	3266	2734
1038	WD10001038	0.00	12866	10925
1039	WD10001039	0.00	515	436
1040	WD10001040	0.00	1320	1119
1041	WD10001041	0.00	15852	13351
1043	WD10001043	0.01	42316	35975
1045	WD10001045	0.00	8768	7452
1046	WD10001046	0.01	32234	27400
1047	WD10001047	0.00	863	730
1048	WD10001048	0.00	1054	893
1049	WD10001049	0.00	8114	6871
1050	WD10001050	0.00	2059	1746
1051	WD10001051	0.00	715	608
1052	WD10001052	0.00	2836	2410
1053	WD10001053	0.00	715	608
1054	WD10001054	0.00	1730	1469
1055	WD10001055	0.00	2844	2413
1056	WD10001056	0.00	3514	2965
1057	WD10001057	0.00	7873	6698
1058	WD10001058	0.00	6635	5611
1059	WD10001059	0.00	3369	2847
1060	WD10001060	0.00	10776	9118
1061	WD10001061	0.00	3872	3266
1062	WD10001062	0.00	10174	8642
1063	WD10001063	0.00	22524	19117
1064	WD10001064	0.00	10468	8845
1066	WD10001066	0.00	1145	970
1067	WD10001067	0.00	14968	12731
1068	WD10001068	0.00	5449	4625
1069	WD10001069	0.00	7046	5981
1070	WD10001070	0.00	2813	2388
1071	WD10001071	0.00	11230	9516
1072	WD10001072	0.00	4590	3862
1074	WD10001074	0.00	20258	17105
1075	WD10001075	0.00	14456	12185
1076	WD20001076	0.00	743	557
1077	WD20001077	0.00	208	157
1078	WD30001078	0.00	13945	9731
1079	WD30001079	0.00	802	550
1080	WD30001080	0.00	2739	1917
1081	WD10001081	0.00	1433	1208
1082	WD20001082	0.00	649	538
1083	WD10001083	0.00	8012	6733
1084	WD10001084	0.00	1057	888
1085	WD20001085	0.00	1391	1155
1086	WD20001086	0.00	3149	2610
1088	WD20001088	0.00	3637	3011
1089	WD10001089	0.00	2639	2206
1090	WD10001090	0.00	829	703
1091	WD10001091	0.00	689	583
1092	WD10001092	0.00	2558	2166
1093	WD10001093	0.00	3809	3213
1094	WD20001094	0.00	2051	1547
1095	WD20001095	0.00	1827	1384
1096	WD10001096	0.00	557	471
1097	WD10001097	0.00	3356	2838
1098	WD10001098	0.00	2549	2164
1099	WD10001099	0.00	9210	7839
1100	WD10001100	0.00	803	681
1101	WD10001101	0.00	229	194
1102	WD10001102	0.00	1978	1674
1103	WD10001103	0.00	4172	3543
1104	WD10001104	0.00	755	641
1105	WD10001105	0.00	553	470
1106	WD10001106	0.00	7688	6516
1107	WD20001107	0.00	426	357
1108	WD10001108	0.00	425	362
1109	WD10001109	0.00	2528	2153
1110	WD20001110	0.00	1297	953
1111	WD20001111	0.00	13492	9897
1112	WD20001112	0.00	3411	2486
1113	WD20001113	0.00	903	655
1114	WD30001114	0.00	7326	5284
1115	WD30001115	0.00	499	361
1116	WD20001116	0.00	3886	2745
1117	WD30001117	0.00	10603	7338
1118	WD30001118	0.00	15245	10631
1119	WD30001119	0.00	3828	2691
1120	WD30001120	0.00	1045	737
1121	WD30001121	0.00	5681	4022
1122	WD20001122	0.00	3152	2256
1124	WD20001124	0.00	13733	9647
1125	WD30001125	0.00	19629	13825
1126	WD30001126	0.00	4170	2916
1127	WD30001127	0.00	4428	3063
1128	WD30001128	0.00	1945	1349
1129	WD30001129	0.00	25854	17869
1130	WD20001130	0.00	1356	955
1132	WD20001132	0.00	3106	2163
1134	WD20001134	0.00	6033	4958
1135	WD30001135	0.00	2904	2028
1136	WD20001136	0.00	1615	1344
1137	WD20001137	0.00	1562	1307
1138	WD20001138	0.00	3768	3141
1139	WD10001139	0.00	611	511
1140	WD20001140	0.00	1683	1407
1141	WD20001141	0.00	484	405
1142	WD20001142	0.00	1481	1236
1143	WD20001143	0.00	863	719
1144	WD20001144	0.00	5403	4488
1145	WD10001145	0.00	883	739
1146	WD20001146	0.00	7006	5755
1147	WD20001147	0.00	2406	2020
1151	WD20001151	0.00	1499	1106
1152	WD20001152	0.00	29796	21551
1156	WD10001156	0.00	504	427
1157	WD10001157	0.00	6195	5267
1158	WD10001158	0.00	1422	1204
1159	WD10001159	0.00	3443	2918
1160	WD10001160	0.00	5144	4372
1161	WD10001161	0.00	12371	10503
1162	WD10001162	0.00	16695	14214
1163	WD10001163	0.00	9508	8004
1166	WD10001166	0.01	32743	27625
1167	WD10001167	0.00	12325	10431
1168	WD10001168	0.00	5178	4373
1169	WD10001169	0.00	18813	15915
1170	WD10001170	0.00	5960	4986
1171	WD10001171	0.00	1654	1407
1172	WD10001172	0.00	21643	18382
1173	WD10001173	0.01	28625	24251
1174	WD10001174	0.00	12333	10478
1175	WD10001175	0.00	496	422
1177	WD10001177	0.00	2816	2380
1179	WD10001179	0.00	4623	3915
1180	WD10001180	0.00	1600	1353
1181	WD10001181	0.00	9761	8287
1183	WD10001183	0.00	10944	9283
1184	WD10001184	0.00	8600	7320
1185	WD10001185	0.00	4199	3551
1187	WD10001187	0.01	34680	29493
1188	WD10001188	0.00	6962	5926
1189	WD10001189	0.00	4377	3726
1190	WD10001190	0.00	16742	14259
1191	WD20001191	0.00	26387	21851
1192	WD10001192	0.00	1708	1452
1193	WD10001193	0.00	24798	21093
1194	WD10001194	0.00	2399	2006
1196	WD20001196	0.00	1501	1231
1197	WD20001197	0.01	34477	28418
1198	WD10001198	0.00	939	791
1199	WD10001199	0.00	886	745
1200	WD10001200	0.00	344	292
1201	WD10001201	0.00	4979	4240
1202	WD10001202	0.00	356	303
1203	WD10001203	0.00	1351	1150
1204	WD10001204	0.00	6942	5807
1205	WD20001205	0.00	1700	1425
1207	WD20001207	0.00	3313	2757
1208	WD20001208	0.00	927	781
1209	WD10001209	0.00	3482	2956
1211	WD20001211	0.00	10926	9058
1212	WD20001212	0.00	3771	3161
1213	WD10001213	0.00	57	48
1214	WD10001214	0.00	570	485
1215	WD20001215	0.00	3465	2912
1216	WD20001216	0.00	1102	801
1217	WD30001217	0.00	611	444
1218	WD30001218	0.00	3503	2530
1219	WD20001219	0.00	18583	14567
1221	WD10001221	0.01	29134	24316
1223	WD20001223	0.00	1769	1477
1226	WD10001226	0.01	47113	39551
1227	WD10001227	0.00	4785	4054
1228	WD10001228	0.00	8965	7575
1229	WD10001229	0.00	1464	1244
1230	WD10001230	0.00	317	266
1232	WD10001232	0.00	10523	8856
1233	WD10001233	0.00	466	397
1235	WD10001235	0.01	30858	25885
1237	WD20001237	0.00	24744	18008
1238	WD30001238	0.00	7150	4973
1239	WD30001239	0.00	363	251
1241	WD20001241	0.00	5895	4890
1242	WD20001242	0.00	596	424
1244	WD10001244	0.00	8834	7415
1246	WD10001246	0.00	566	473
1247	WD10001247	0.00	8821	7474
1248	WD10001248	0.00	4576	3860
1249	WD10001249	0.00	1786	1508
1250	WD10001250	0.00	8759	7402
1251	WD10001251	0.00	5480	4617
1252	WD10001252	0.00	5070	4310
1253	WD10001253	0.00	2096	1763
1254	WD20001254	0.00	23524	17449
1255	WD10001255	0.00	8520	7173
1256	WD10001256	0.00	6669	5611
1257	WD10001257	0.00	1070	897
1259	WD10001259	0.01	44761	37538
1260	WD10001260	0.00	4462	3723
1261	WD20001261	0.00	1759	1466
1262	WD10001262	0.00	17900	14996
1264	WD10001264	0.00	23425	19757
1265	WD10001265	0.00	2965	2511
1267	WD10001267	0.00	926	785
1268	WD10001268	0.00	18678	15772
1269	WD20001269	0.00	6582	5454
1270	WD10001270	0.00	4003	3397
1271	WD10001271	0.00	5551	4633
1272	WD10001272	0.00	145	123
1273	WD10001273	0.00	5122	4281
1274	WD20001274	0.00	1054	885
1275	WD20001275	0.00	1146	965
1276	WD10001276	0.00	2705	2284
1277	WD10001277	0.00	11141	9431
1278	WD10001278	0.00	3271	2737
1279	WD10001279	0.00	201	170
1280	WD10001280	0.00	798	677
1281	WD20001281	0.00	1893	1568
1283	WD20001283	0.00	1843	1295
1284	WD20001284	0.00	3697	2644
1286	WD10001286	0.00	328	277
1287	WD10001287	0.00	3363	2843
1289	WD10001289	0.00	1500	1272
1290	WD10001290	0.00	4451	3775
1291	WD20001291	0.00	7410	6074
1292	WD20001292	0.00	7718	6492
1293	WD20001293	0.01	72368	58688
1294	WD20001294	0.00	24643	20552
1297	WD20001297	0.00	1036	781
1298	WD10001298	0.00	1453	1216
1299	WD20001299	0.00	6467	4755
1300	WD20001300	0.00	680	495
1301	WD20001301	0.00	1141	831
1307	WD20001307	0.01	70990	55789
1309	WD20001309	0.00	13157	10034
1312	WD20001312	0.01	73148	56178
1315	WD20001315	0.03	222897	162303
1316	WD20001316	0.02	100642	75047
1317	WD20001317	0.00	17807	13099
1319	WD20001319	0.00	815	618
1321	WD10001321	0.00	413	348
1322	WD10001322	0.00	20795	17409
1323	WD10001323	0.00	4772	3987
1324	WD20001324	0.03	144479	116822
1325	WD10001325	0.00	1087	924
1326	WD10001326	0.00	26698	22566
1327	WD10001327	0.00	5590	4703
1328	WD10001328	0.00	4528	3797
1329	WD10001329	0.00	1077	913
1330	WD20001330	0.00	10232	7867
1331	WD20001331	0.00	1681	1348
1332	WD20001332	0.00	1452	1125
1333	WD20001333	0.00	371	284
1336	WD20001336	0.00	4646	3459
1337	WD20001337	0.00	21995	15919
1338	WD20001338	0.00	6869	5147
1339	WD20001339	0.00	2220	1664
1340	WD20001340	0.00	4867	3599
1341	WD30001341	0.00	302	212
1342	WD20001342	0.00	3874	2835
1343	WD30001343	0.00	3684	2587
1344	WD30001344	0.00	3286	2283
1345	WD30001345	0.00	1971	1359
1350	WD20001350	0.00	7039	5182
1351	WD20001351	0.00	5340	3917
1352	WD20001352	0.00	7814	5912
1353	WD20001353	0.00	8704	6588
1355	WD20001355	0.00	4858	3593
1356	WD20001356	0.00	11032	8114
1357	WD20001357	0.00	1976	1476
1358	WD10001358	0.00	427	362
1359	WD20001359	0.00	809	674
1360	WD20001360	0.00	1019	782
1361	WD20001361	0.00	644	502
1362	WD20001362	0.00	358	260
1363	WD20001363	0.00	1078	899
1364	WD10001364	0.00	172	143
1365	WD20001365	0.00	1621	1330
1367	WD20001367	0.00	864	726
1368	WD20001368	0.00	19837	16683
1370	WD20001370	0.00	4055	3397
1371	WD20001371	0.00	15464	12891
1372	WD20001372	0.00	5562	4646
1374	WD20001374	0.00	9553	7993
1375	WD20001375	0.00	2139	1780
1376	WD20001376	0.00	8011	6585
1377	WD10001377	0.00	3535	2988
1378	WD30001378	0.00	691	499
1379	WD30001379	0.00	524	368
1380	WD10001380	0.00	357	297
1381	WD20001381	0.00	1632	1312
1382	WD10001382	0.00	263	219
1383	WD10001383	0.00	4090	3423
1384	WD10001384	0.00	2754	2310
1385	WD10001385	0.00	4381	3708
1386	WD10001386	0.00	11763	10017
1388	WD10001388	0.00	6240	5252
1389	WD20001389	0.00	840	608
1391	WD30001391	0.00	5688	4076
1392	WD30001392	0.00	13103	9261
1393	WD30001393	0.00	1825	1301
1394	WD30001394	0.00	2553	1801
1395	WD30001395	0.00	1941	1381
1396	WD20001396	0.00	1802	1303
1397	WD30001397	0.00	7603	5481
1398	WD30001398	0.00	511	364
1399	WD10001399	0.00	1642	1391
1400	WD10001400	0.00	7491	6313
1401	WD30001401	0.00	7022	4832
1402	WD30001402	0.00	2759	1975
1403	WD30001403	0.00	11496	8242
1404	WD20001404	0.00	6169	4439
1405	WD30001405	0.00	5126	3638
1406	WD30001406	0.00	1550	1094
1407	WD30001407	0.00	12207	8577
1408	WD30001408	0.00	7801	5474
1409	WD20001409	0.00	3789	2681
1411	WD20001411	0.00	7508	5365
1412	WD30001412	0.00	1201	847
1413	WD30001413	0.00	1798	1249
1414	WD20001414	0.00	18597	13833
1416	WD30001416	0.00	2362	1637
1417	WD20001417	0.00	2935	2472
1419	WD20001419	0.00	2949	2224
1420	WD10001420	0.00	25527	21393
1421	WD10001421	0.00	751	635
1422	WD10001422	0.00	18061	15295
1423	WD20001423	0.00	13300	11204
1424	WD10001424	0.00	13721	11541
1425	WD10001425	0.00	482	408
1426	WD10001426	0.00	6571	5520
1427	WD10001427	0.00	21747	18372
1428	WD20001428	0.01	51175	42466
1429	WD10001429	0.00	503	423
1430	WD10001430	0.00	4099	3463
1431	WD10001431	0.00	7318	6191
1432	WD10001432	0.00	962	817
1433	WD10001433	0.00	1151	974
1434	WD20001434	0.00	18258	15210
1436	WD10001436	0.00	16103	13552
1438	WD10001438	0.00	10422	8804
1439	WD10001439	0.00	7561	6374
1440	WD20001440	0.00	2659	2199
1441	WD10001441	0.00	3444	2876
1442	WD10001442	0.00	104	88
1443	WD10001443	0.02	120885	101946
1444	WD10001444	0.00	20370	17201
1445	WD10001445	0.00	1175	986
1446	WD10001446	0.00	15818	13227
1447	WD10001447	0.00	2717	2295
1448	WD10001448	0.00	2371	2008
1449	WD20001449	0.00	5	4
1450	WD10001450	0.00	3870	3236
1453	WD10001453	0.01	33723	28484
1455	WD10001455	0.01	28641	24053
1456	WD10001456	0.00	6015	5083
1457	WD10001457	0.00	1293	1088
1458	WD10001458	0.00	17822	15088
1459	WD20001459	0.00	6467	5402
1460	WD10001460	0.00	5091	4263
1461	WD20001461	0.00	208	173
1462	WD20001462	0.00	1829	1526
1463	WD10001463	0.00	6392	5356
1464	WD10001464	0.00	3207	2698
1465	WD10001465	0.00	12244	10301
1466	WD20001466	0.01	28052	23227
1467	WD20001467	0.00	10936	9069
1468	WD10001468	0.00	10449	8761
1469	WD10001469	0.01	69514	57982
1470	WD10001470	0.00	13048	10983
1471	WD10001471	0.00	13837	11718
1472	WD10001472	0.00	409	343
1473	WD10001473	0.00	4254	3587
1475	WD10001475	0.00	8591	7280
1476	WD10001476	0.00	18453	15496
1477	WD10001477	0.00	1083	916
1478	WD10001478	0.00	10101	8449
1479	WD10001479	0.00	2817	2382
1480	WD10001480	0.00	6885	5760
1482	WD10001482	0.00	8043	6824
1484	WD10001484	0.00	10680	9055
1485	WD10001485	0.00	2873	2437
1486	WD10001486	0.00	4749	4022
1487	WD10001487	0.00	6280	5325
1488	WD10001488	0.00	3273	2776
1489	WD10001489	0.00	5898	4989
1490	WD10001490	0.00	4864	4117
1492	WD10001492	0.00	11106	9420
1493	WD10001493	0.00	14785	12456
1494	WD10001494	0.00	16275	13781
1495	WD20001495	0.00	812	677
1496	WD10001496	0.00	6729	5674
1498	WD20001498	0.00	1862	1545
1499	WD10001499	0.00	2583	2163
1500	WD10001500	0.00	245	205
1501	WD10001501	0.00	1716	1437
1502	WD10001502	0.00	4177	3509
1503	WD10001503	0.00	14688	12422
1504	WD20001504	0.00	684	570
1505	WD20001505	0.00	5813	4872
1506	WD20001506	0.00	1534	1280
1508	WD10001508	0.00	9871	8374
1509	WD20001509	0.00	2421	2024
1510	WD10001510	0.00	3971	3337
1511	WD10001511	0.00	8159	6865
1512	WD10001512	0.00	491	411
1513	WD10001513	0.00	10876	9175
1514	WD30001514	0.00	86	59
1515	WD10001515	0.00	13060	10941
1516	WD10001516	0.00	2654	2223
1517	WD10001517	0.00	3122	2602
1519	WD10001519	0.00	208	174
1520	WD10001520	0.00	1818	1528
1521	WD10001521	0.00	30	25
1522	WD20001522	0.00	3334	2777
1523	WD20001523	0.00	821	684
1524	WD30001524	0.00	6679	4601
1525	WD30001525	0.00	852	586
1526	WD30001526	0.00	1566	1080
1527	WD10001527	0.00	16167	13640
1528	WD10001528	0.00	12834	10842
1529	WD10001529	0.00	2287	1922
1530	WD10001530	0.00	26080	22005
1532	WD20001532	0.00	3942	3293
1533	WD10001533	0.00	19433	16300
1534	WD10001534	0.00	563	474
1536	WD10001536	0.00	18733	15675
1537	WD10001537	0.01	27591	23329
1539	WD10001539	0.00	5412	4543
1540	WD10001540	0.00	16793	14087
1541	WD10001541	0.00	5862	4909
1542	WD10001542	0.00	8228	6916
1543	WD10001543	0.00	2624	2207
1544	WD10001544	0.01	32961	27880
1545	WD10001545	0.00	194	165
1546	WD10001546	0.00	5080	4323
1547	WD10001547	0.00	712	605
1548	WD10001548	0.00	1281	1084
1549	WD10001549	0.00	967	819
1550	WD10001550	0.00	2591	2199
1552	WD10001552	0.00	10025	8513
1553	WD10001553	0.00	22356	18990
1554	WD10001554	0.00	10294	8743
1555	WD10001555	0.00	1753	1489
1556	WD10001556	0.00	4721	4016
1557	WD10001557	0.00	473	402
1558	WD10001558	0.00	2690	2283
1559	WD10001559	0.00	8905	7569
1560	WD10001560	0.00	4766	4056
1561	WD10001561	0.00	18234	15330
1562	WD10001562	0.00	472	402
1563	WD10001563	0.00	3728	3140
1564	WD10001564	0.00	1413	1180
1565	WD10001565	0.00	10498	8852
1566	WD10001566	0.00	4656	3902
1567	WD10001567	0.00	8993	7634
1568	WD10001568	0.00	24963	21258
1569	WD10001569	0.00	15297	12992
1570	WD10001570	0.00	2823	2392
1571	WD10001571	0.00	5807	4939
1572	WD10001572	0.00	21291	17951
1573	WD10001573	0.00	317	270
1574	WD10001574	0.00	9821	8339
1576	WD10001576	0.00	2082	1768
1577	WD10001577	0.00	1293	1099
1578	WD10001578	0.00	391	331
1579	WD10001579	0.00	5036	4276
1580	WD10001580	0.00	7162	6013
1581	WD10001581	0.00	5398	4594
1582	WD10001582	0.00	12247	10417
1583	WD10001583	0.00	2447	2075
1584	WD10001584	0.00	9269	7781
1585	WD10001585	0.00	729	619
1586	WD10001586	0.00	4203	3562
1587	WD10001587	0.00	221	187
1588	WD10001588	0.00	1409	1193
1589	WD10001589	0.00	723	609
1590	WD10001590	0.00	7292	6208
1591	WD30001591	0.00	1134	783
1592	WD10001592	0.00	2337	1983
1593	WD10001593	0.00	7168	6086
1594	WD10001594	0.00	473	400
1595	WD10001595	0.00	875	742
1596	WD10001596	0.00	453	385
1598	WD20001598	0.00	25791	21357
1599	WD20001599	0.00	10106	8436
1600	WD20001600	0.00	1803	1503
1602	WD20001602	0.00	6256	5211
1604	WD20001604	0.00	12808	10525
1605	WD20001605	0.00	2056	1729
1606	WD20001606	0.00	1458	1206
1607	WD20001607	0.02	87358	72602
1608	WD10001608	0.00	5045	4255
1609	WD20001609	0.00	1235	1033
1610	WD20001610	0.00	788	660
1611	WD20001611	0.00	1196	1005
1612	WD10001612	0.00	5352	4557
1613	WD20001613	0.00	12990	10760
1614	WD20001614	0.05	255458	211154
1615	WD20001615	0.00	16035	13238
1616	WD20001616	0.00	16222	13401
1617	WD20001617	0.00	3200	2664
1618	WD20001618	0.02	129526	106742
1620	WD20001620	0.00	18050	14932
1621	WD20001621	0.00	4743	3943
1622	WD20001622	0.00	2578	2154
1623	WD10001623	0.00	3473	2896
