pixel_vaue	description	cover_%	cell_count	square_km
11729	WD20011729	0.00	1344	917
11730	WD40011730	0.06	381695	273665
11731	WD40011731	0.00	707	517
11732	WD40011732	0.02	147994	107007
11733	WD20011733	0.00	20269	14573
11734	WD20011734	0.00	4535	3287
11735	WD20011735	0.00	8011	5640
11736	WD20011736	0.02	137098	97591
11737	WD20011737	0.00	44	31
11738	WD50011738	0.00	7380	5369
11739	WD20011739	0.00	326	235
11740	WD20011740	0.00	1761	1279
11741	WD20011741	0.03	221468	154681
11742	WD40011742	0.01	70540	49750
11743	WD50011743	0.00	6335	4459
11744	WD40011744	0.00	9646	6760
11745	WD40011745	0.00	1120	784
11746	WD40011746	0.00	6252	4489
11747	WD20011747	0.00	27960	19031
11748	WD20011748	0.02	127186	86458
11749	WD20011749	0.00	39	29
11750	WD30011750	0.00	4857	3647
11751	WD30011751	0.00	297	223
11752	WD20011752	0.00	17051	11007
11753	WD30011753	0.00	47	35
11754	WD20011754	0.00	148	112
11755	WD20011755	0.01	39997	27402
11756	WD40011756	0.00	4850	3510
11757	WD40011757	0.00	61	44
11758	WD40011758	0.00	91	68
11759	WD40011759	0.00	8841	6619
11760	WD20011760	0.00	1950	1460
11761	WD50011761	0.00	424	313
11762	WD20011762	0.00	10	7
11763	WD20011763	0.01	38344	26562
11764	WD40011764	0.00	3868	2818
11765	WD20011765	0.06	418444	297107
11766	WD30011766	0.00	1242	987
11767	WD10011767	0.00	7791	6278
11768	WD30011768	0.00	7457	5990
11769	WD30011769	0.00	2184	1746
11770	WD30011770	0.00	4654	3711
11771	WD30011771	0.00	1546	1238
11772	WD10011772	0.00	2349	1869
11773	WD30011773	0.00	443	352
11774	WD30011774	0.00	7705	6159
11775	WD30011775	0.00	9387	7211
11776	WD10011776	0.00	3911	3160
11777	WD10011777	0.00	987	792
11778	WD10011778	0.00	3	2
11779	WD30011779	0.00	2672	2129
11780	WD10011780	0.00	321	257
11781	WD30011781	0.00	95	75
11782	WD30011782	0.00	5514	4336
11783	WD30011783	0.01	79469	62694
11784	WD30011784	0.00	1141	892
11785	WD30011785	0.01	40000	31507
11786	WD30011786	0.01	56987	44967
11787	WD30011787	0.00	4538	3572
11788	WD30011788	0.00	19806	15628
11789	WD30011789	0.00	11317	8921
11790	WD30011790	0.00	17052	13061
11791	WD30011791	0.00	6170	4866
11792	WD30011792	0.00	1083	856
11793	WD30011793	0.00	812	639
11794	WD30011794	0.00	10426	8213
11795	WD30011795	0.00	908	715
11796	WD30011796	0.00	1612	1272
11797	WD30011797	0.00	173	136
11798	WD30011798	0.00	5025	3925
11799	WD30011799	0.00	355	278
11800	WD30011800	0.00	526	414
11801	WD30011801	0.00	121	95
11802	WD30011802	0.00	49	39
11803	WD30011803	0.00	10	8
11804	WD30011804	0.01	32889	25184
11805	WD30011805	0.02	113800	87602
11806	WD30011806	0.00	12773	9790
11807	WD30011807	0.01	47135	36422
11808	WD30011808	0.03	161626	123801
11809	WD30011809	0.01	35708	27606
11810	WD30011810	0.00	16343	12441
11811	WD30011811	0.00	11303	8869
11812	WD30011812	0.00	12561	9551
11813	WD30011813	0.00	320	248
11814	WD30011814	0.02	98039	75175
11815	WD30011815	0.01	42156	32189
11816	WD30011816	0.00	1520	1175
11817	WD30011817	0.00	7610	5804
11818	WD30011818	0.02	121208	92711
11819	WD30011819	0.00	5176	4000
11820	WD30011820	0.00	212	163
11821	WD30011821	0.00	4829	3743
11822	WD30011822	0.00	865	667
11823	WD30011823	0.00	18123	13520
11824	WD30011824	0.00	13	10
11825	WD30011825	0.00	376	281
11826	WD30011826	0.00	11018	8477
11827	WD30011827	0.00	1289	1001
11828	WD30011828	0.00	6897	5315
11829	WD30011829	0.00	659	513
11830	WD30011830	0.00	10330	8018
11831	WD30011831	0.00	16461	12762
11832	WD30011832	0.00	212	164
11833	WD30011833	0.00	2799	2163
11834	WD30011834	0.00	23646	18013
11835	WD30011835	0.00	640	490
11836	WD30011836	0.00	346	267
11837	WD30011837	0.00	1995	1531
11838	WD30011838	0.00	308	240
11839	WD30011839	0.01	91034	69075
11840	WD30011840	0.00	22806	17581
11841	WD30011841	0.00	2263	1739
11842	WD30011842	0.01	35758	26928
11843	WD30011843	0.02	96576	74109
11844	WD30011844	0.01	39480	29849
11845	WD30011845	0.00	12	9
11846	WD30011846	0.00	444	336
11847	WD30011847	0.00	1657	1268
11848	WD30011848	0.00	2192	1627
11849	WD30011849	0.00	670	508
11850	WD30011850	0.00	28	22
11851	WD30011851	0.00	16281	12396
11852	WD30011852	0.00	52	39
11853	WD30011853	0.00	12529	9310
11854	WD30011854	0.00	312	238
11855	WD30011855	0.00	863	647
11856	WD30011856	0.00	407	317
11857	WD30011857	0.01	37199	27019
11858	WD30011858	0.00	22212	16196
11859	WD30011859	0.00	375	274
11860	WD30011860	0.00	942	690
11861	WD30011861	0.00	18822	13590
11862	WD30011862	0.00	286	208
11863	WD30011863	0.00	1782	1282
11864	WD30011864	0.02	120292	91107
11865	WD30011865	0.00	5966	4500
11866	WD30011866	0.00	4743	3633
11867	WD30011867	0.00	1705	1287
11868	WD30011868	0.00	9974	7593
11869	WD30011869	0.00	17133	12879
11870	WD30011870	0.01	40447	29520
11871	WD30011871	0.00	5834	4190
11872	WD30011872	0.00	4494	3253
11873	WD30011873	0.00	104	75
11874	WD30011874	0.00	3702	2651
11875	WD30011875	0.01	32561	23569
11876	WD30011876	0.00	21251	15441
11877	WD30011877	0.00	7916	5722
11878	WD30011878	0.00	13491	9708
11879	WD30011879	0.02	120466	88339
11880	WD40011880	0.01	97191	64364
11881	WD40011881	0.00	8787	5926
